"Time","Traffic In","Traffic Out"
2019-01-01 00:00:00,31764032,261704648
2019-01-02 00:00:00,49734848,445912840
2019-01-03 00:00:00,64866000,574725096
2019-01-04 00:00:00,68729248,675061888
2019-01-05 00:00:00,64037384,825464640
2019-01-06 00:00:00,91429832,1095163552
2019-01-07 00:00:00,126241112,1471986968
2019-01-08 00:00:00,151711848,1597418664
2019-01-09 00:00:00,136979216,1641059296
2019-01-10 00:00:00,129463024,1629486368
2019-01-11 00:00:00,122219248,1511745864
2019-01-12 00:00:00,112505296,1449772824
2019-01-13 00:00:00,119371912,1539426800
2019-01-14 00:00:00,145541744,1599076152
2019-01-15 00:00:00,138078680,1702316864
2019-01-16 00:00:00,141427312,1650866096
2019-01-17 00:00:00,147054856,1641662448
2019-01-18 00:00:00,118130696,1425554200
2019-01-19 00:00:00,107796256,1341250752
2019-01-20 00:00:00,146666312,1576651336
2019-01-21 00:00:00,161135464,1771932552
2019-01-22 00:00:00,164124200,1835189632
2019-01-23 00:00:00,171457384,1906355680
2019-01-24 00:00:00,176333496,1862289656
2019-01-25 00:00:00,138846888,1741447016
2019-01-26 00:00:00,123046664,1527356408
2019-01-27 00:00:00,149012664,1698936464
2019-01-28 00:00:00,176413280,1903646464
2019-01-29 00:00:00,190521616,1962314816
2019-01-30 00:00:00,187414904,1985838000
2019-01-31 00:00:00,204401160,2062354248
2019-02-01 00:00:00,175433296,1828781264
2019-02-02 00:00:00,117295112,1472007432
2019-02-03 00:00:00,143821624,1581151016
2019-02-04 00:00:00,156320648,1855419560
2019-02-05 00:00:00,172958752,1973485224
2019-02-06 00:00:00,180710256,1941424600
2019-02-07 00:00:00,163596592,1840747880
2019-02-08 00:00:00,159165072,1724653992
2019-02-09 00:00:00,118713632,1572160952
2019-02-10 00:00:00,150417128,1644751864
2019-02-11 00:00:00,157459056,1892915048
2019-02-12 00:00:00,170462432,1919117048
2019-02-13 00:00:00,162129800,1946056800
2019-02-14 00:00:00,164842344,1891732344
2019-02-15 00:00:00,151764480,1645957624
2019-02-16 00:00:00,93250480,1401751280
