"Time","Traffic In","Traffic Out"
2020-07-03 01:00:00,0,0
2020-07-04 01:00:00,18676904,155151152
2020-07-05 01:00:00,21454064,201746680
2020-07-06 01:00:00,91829920,268874000
2020-07-07 01:00:00,104704616,265901216
2020-07-08 01:00:00,110503472,276769320
2020-07-09 01:00:00,101174240,292066712
2020-07-10 01:00:00,83714576,263194888
2020-07-11 01:00:00,25474000,162827784
2020-07-12 01:00:00,26129056,152559264
2020-07-13 01:00:00,101738416,260845000
2020-07-14 01:00:00,112923856,273650640
2020-07-15 01:00:00,123832680,287633496
2020-07-16 01:00:00,116591872,294534048
2020-07-17 01:00:00,75774744,228579056
2020-07-18 01:00:00,19185968,156638296
2020-07-19 01:00:00,20812056,166864640
2020-07-20 01:00:00,92579600,243360904
2020-07-21 01:00:00,136695096,284598328
2020-07-22 01:00:00,104131496,301380360
2020-07-23 01:00:00,144685640,244718304
2020-07-24 01:00:00,116051688,216392960
2020-07-25 01:00:00,33502704,143999128
2020-07-26 01:00:00,32545520,142037224
2020-07-27 01:00:00,112002720,226136336
2020-07-28 01:00:00,146587224,263836600
2020-07-29 01:00:00,111411896,238503528
2020-07-30 01:00:00,106357184,242943088
2020-07-31 01:00:00,73439096,209698368
2020-08-01 01:00:00,35978248,132635568
2020-08-02 01:00:00,36598400,137987112
2020-08-03 01:00:00,98795928,236234312
2020-08-04 01:00:00,115898264,254279384
2020-08-05 01:00:00,111993496,286023352
2020-08-06 01:00:00,108396736,258030368
2020-08-07 01:00:00,82715168,222536032
2020-08-08 01:00:00,33690280,145239008
2020-08-09 01:00:00,58451768,151848888
2020-08-10 01:00:00,137440656,231247968
2020-08-11 01:00:00,105527064,247153496
2020-08-12 01:00:00,120039184,273917792
2020-08-13 01:00:00,105314720,285013536
2020-08-14 01:00:00,122568304,232786392
2020-08-15 01:00:00,77999944,142946816
2020-08-16 01:00:00,71356712,153186088
2020-08-17 01:00:00,132877488,217172224
2020-08-18 01:00:00,121568760,246750736
2020-08-19 01:00:00,148493224,250332488
2020-08-20 01:00:00,127596352,233155152
2020-08-21 01:00:00,90528160,207471160
2020-08-22 01:00:00,30072904,155306696
2020-08-23 01:00:00,31372704,164221600
2020-08-24 01:00:00,99879032,264715984
2020-08-25 01:00:00,95469024,247609392
2020-08-26 01:00:00,109508560,263363512
2020-08-27 01:00:00,112782448,241185288
2020-08-28 01:00:00,90125896,213151824
2020-08-29 01:00:00,16314288,114908048
2020-08-30 01:00:00,17292552,122610064
