Time,Traffic In,Traffic Out
06/07/2023 01:00,200891168,509671264
07/07/2023 01:00,146331472,663141728
08/07/2023 01:00,32596240,511915744
09/07/2023 01:00,121377456,222829096
10/07/2023 01:00,170011712,398487280
11/07/2023 01:00,185271648,443440952
12/07/2023 01:00,173453744,440993656
13/07/2023 01:00,174335464,427943408
14/07/2023 01:00,164333888,371798800
15/07/2023 01:00,32320920,233072952
16/07/2023 01:00,110344336,235004336
17/07/2023 01:00,191618528,417137008
18/07/2023 01:00,193756192,436181336
19/07/2023 01:00,185364712,453095664
20/07/2023 01:00,195289192,489442728
21/07/2023 01:00,153622952,403185800
22/07/2023 01:00,34112976,215929848
23/07/2023 01:00,105324600,216952456
24/07/2023 01:00,183490304,382384856
25/07/2023 01:00,199858424,408655408
26/07/2023 01:00,188653032,496162016
27/07/2023 01:00,216994944,487398528
28/07/2023 01:00,175483352,417209952
29/07/2023 01:00,52815824,312075952
30/07/2023 01:00,131651800,277244288
31/07/2023 01:00,161330528,421700864
01/08/2023 01:00,200094864,420200160
02/08/2023 01:00,184617368,482476920
03/08/2023 01:00,179400528,395820768
04/08/2023 01:00,168694784,344051840
05/08/2023 01:00,50768672,217253016
06/08/2023 01:00,139480480,232512536
07/08/2023 01:00,159023840,553605096
08/08/2023 01:00,211162776,434008816
09/08/2023 01:00,164838048,469840888
10/08/2023 01:00,201714952,513422608
11/08/2023 01:00,152229512,343988744
12/08/2023 01:00,30334080,221110912
13/08/2023 01:00,90618032,180171672
14/08/2023 01:00,189187320,372094776
15/08/2023 01:00,180454432,387914472
16/08/2023 01:00,168190408,423830008
17/08/2023 01:00,161308256,360508312
18/08/2023 01:00,143267640,348816712
19/08/2023 01:00,54310392,208929440
20/08/2023 01:00,100288488,192473712
21/08/2023 01:00,144170616,373623512
22/08/2023 01:00,168463872,371053968
23/08/2023 01:00,161248392,451941168
24/08/2023 01:00,171452352,499434168
25/08/2023 01:00,125107552,287179296
26/08/2023 01:00,31045008,158367480
27/08/2023 01:00,113234744,154588856
28/08/2023 01:00,73426296,307485880
29/08/2023 01:00,166792688,1019018856
30/08/2023 01:00,149416352,735955776
31/08/2023 01:00,164230480,497606864
01/09/2023 01:00,142872928,604244352
02/09/2023 01:00,35130056,242290536
03/09/2023 01:00,99037216,324690216
04/09/2023 01:00,160388144,530124768
05/09/2023 01:00,171464608,480631568
06/09/2023 01:00,183667536,415733848
07/09/2023 01:00,170347512,343358096
08/09/2023 01:00,151523808,304126584
09/09/2023 01:00,31946464,147672432
10/09/2023 01:00,104880440,158760472
11/09/2023 01:00,192575280,375645952
12/09/2023 01:00,211429648,419541504
13/09/2023 01:00,187750944,444867000
14/09/2023 01:00,204694648,458633808
15/09/2023 01:00,160139320,522475168
16/09/2023 01:00,114653168,898498032
17/09/2023 01:00,287797008,1822096256
