,Week_Number
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,1
53,2
54,3
55,4
56,5
57,6
58,7
59,8
60,9
61,10
62,11
63,12
64,13
65,14
66,15
67,16
68,17
69,18
70,19
71,20
72,21
73,22
74,23
75,24
76,25
77,26
78,27
79,28
80,29
81,30
82,31
83,32
84,33
85,34
86,35
87,36
88,37
89,38
90,39
91,40
92,41
93,42
94,43
95,44
96,45
97,46
98,47
99,48
100,49
101,50
102,51
103,52
104,53
105,1
106,2
107,3
108,4
109,5
110,6
111,7
112,8
113,9
114,10
115,11
116,12
117,13
118,14
119,15
120,16
121,17
122,18
123,19
124,20
125,21
126,22
127,23
128,24
129,25
130,26
131,27
132,28
133,29
134,30
135,31
136,32
137,33
138,34
139,35
140,36
141,37
142,38
143,39
144,40
145,41
146,42
147,43
148,44
149,45
150,46
151,47
152,48
153,49
154,50
155,51
156,52
157,53
158,1
159,2
160,3
161,4
162,5
163,6
164,7
165,8
166,9
167,10
168,11
169,12
170,13
171,14
172,15
173,16
174,17
175,18
176,19
177,20
178,21
179,22
180,23
181,24
182,25
183,26
184,27
185,28
186,29
187,30
188,31
189,32
190,33
191,34
192,35
193,36
194,37
195,38
196,39
197,40
198,41
199,42
200,43
201,44
202,45
203,46
204,47
205,48
206,49
207,50
208,51
209,52
210,1
211,2
212,3
213,4
214,5
215,6
216,7
217,8
218,9
219,10
220,11
221,12
222,13
223,14
224,15
225,16
226,17
227,18
228,19
229,20
230,21
231,22
232,23
233,24
234,25
235,26
236,27
237,28
238,29
239,30
240,31
241,32
242,33
243,34
244,35
245,36
246,37
247,38
248,39
249,40
250,41
251,42
252,43
253,44
254,45
255,46
256,47
257,48
258,49
259,50
260,51
261,52
262,1
263,2
264,3
265,4
266,5
267,6
268,7
269,8
270,9
271,10
272,11
273,12
274,13
275,14
276,15
277,16
278,17
279,18
280,19
281,20
282,21
283,22
284,23
285,24
286,25
287,26
288,27
289,28
290,29
291,30
292,31
293,32
294,33
295,34
296,35
297,36
298,37
299,38
300,39
301,40
302,41
303,42
304,43
305,44
306,45
307,46
308,47
309,48
310,49
311,50
312,51
313,52
314,1
315,3
316,5
317,9
318,14
319,18
320,22
321,27
322,31
323,36
324,40
325,44
326,49
