,out_down
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,157411725.7142857
6,149199904.0
7,0.0
8,143420387.42857143
9,0.0
10,164595444.57142857
11,0.0
12,0.0
13,148486216.0
14,75538661.71428572
15,63888301.71428572
16,0.0
17,0.0
18,150390329.14285713
19,148607723.42857143
20,128826416.0
21,93069782.85714285
22,77044538.28571428
23,42206374.85714286
24,40007066.28571428
25,0.0
26,37201100.571428575
27,0.0
28,0.0
29,34330923.428571425
30,33193229.714285713
31,31437957.714285713
32,0.0
33,31109086.85714286
34,29246491.42857143
35,0.0
36,31145685.714285713
37,30916449.14285714
38,0.0
39,0.0
40,0.0
41,0.0
42,154133142.85714287
43,147087554.2857143
44,0.0
45,156993492.57142857
46,0.0
47,158053460.57142857
48,157088020.57142857
49,150886530.2857143
50,108252125.71428572
51,25175156.57142857
52,0.0
53,0.0
54,0.0
55,151083336.0
56,0.0
57,166546890.2857143
58,161241051.42857143
59,159233478.85714287
60,0.0
61,0.0
62,189926411.42857143
63,183638403.42857143
64,155399920.0
65,91384260.57142857
66,0.0
67,0.0
68,0.0
69,112487124.57142857
70,101029186.28571428
71,100885353.14285715
72,95605394.28571428
73,76452355.42857143
74,0.0
75,0.0
76,82106889.14285715
77,75513333.71428572
78,62490206.85714286
79,0.0
80,0.0
81,0.0
82,88910681.14285715
83,87134520.0
84,0.0
85,97501370.28571428
86,77338828.57142857
87,0.0
88,91913985.14285715
89,0.0
90,0.0
91,0.0
92,0.0
93,254241342.85714287
94,0.0
95,239614899.42857143
96,0.0
97,277186464.0
98,276898654.85714287
99,0.0
100,246488121.14285713
101,156491244.57142857
102,139481986.2857143
103,51310498.28571428
104,44059376.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,186699166.85714287
113,0.0
114,0.0
115,0.0
116,204991675.42857143
117,130501625.14285715
118,117986860.57142857
119,0.0
120,0.0
121,0.0
122,252644601.14285713
123,250890288.0
124,231116057.14285713
125,211972237.7142857
126,165392773.7142857
127,162446661.7142857
128,119589530.28571428
129,0.0
130,0.0
131,331228139.4285714
132,181473617.14285713
133,173686821.7142857
134,0.0
135,146908221.7142857
136,141588873.14285713
137,139557116.57142857
138,131145083.42857143
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,353868297.14285713
146,0.0
147,0.0
148,368544323.4285714
149,357250897.14285713
150,0.0
151,373373518.85714287
152,370353742.85714287
153,0.0
154,317656624.0
155,140369762.2857143
156,0.0
157,45776045.333333336
158,0.0
159,633226052.5714285
160,322633206.85714287
161,0.0
162,376234816.0
163,369536763.4285714
164,360394232.0
165,352963259.4285714
166,0.0
167,0.0
168,379918066.28571427
169,360881696.0
170,0.0
171,322171347.4285714
172,188310155.42857143
173,185695043.42857143
174,0.0
175,0.0
176,0.0
177,332845281.14285713
178,293877331.4285714
179,224368097.14285713
180,217974634.2857143
181,155133034.2857143
182,154021106.2857143
183,0.0
184,148572309.7142857
185,0.0
186,0.0
187,133297518.85714285
188,131248816.0
189,0.0
190,0.0
191,0.0
192,123316883.42857143
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,408808969.14285713
199,403206194.28571427
200,370966398.85714287
201,0.0
202,404452130.28571427
203,0.0
204,0.0
205,0.0
206,442389469.71428573
207,350531963.4285714
208,186876098.2857143
209,124863605.0
210,0.0
211,0.0
212,0.0
213,0.0
214,415232989.71428573
215,347325557.3333333
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,581745550.8571428
222,224085532.57142857
223,161533041.7777778
224,0.0
225,0.0
226,0.0
227,0.0
228,334201136.6666667
229,0.0
230,302957062.85714287
231,234947456.0
232,0.0
233,200304714.0
234,156016405.7142857
235,150116630.85714287
236,0.0
237,0.0
238,151298450.2857143
239,0.0
240,161330528.0
241,0.0
242,142429562.2857143
243,130674648.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,185863332.0
250,0.0
251,0.0
252,424104299.4285714
253,0.0
254,271641077.3333333
255,0.0
256,427117283.4285714
257,0.0
258,223912924.0
259,0.0
260,175007891.42857143
261,102305140.0
262,0.0
263,0.0
264,0.0
265,0.0
266,381963789.71428573
267,299773923.4285714
268,0.0
269,0.0
270,414539578.28571427
271,278467026.28571427
272,0.0
273,410264459.4285714
274,201877394.2857143
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,317234291.0
281,0.0
282,325492298.28571427
283,298332808.0
284,226732033.14285713
285,0.0
286,194744284.57142857
287,175110170.2857143
288,0.0
289,296511556.71428573
290,197576505.14285713
291,182783542.85714287
292,0.0
293,305301845.71428573
294,193665932.0
295,182395705.14285713
296,0.0
297,0.0
298,254335584.42857143
299,243118066.2857143
300,0.0
301,347316822.85714287
302,0.0
303,0.0
304,465783355.4285714
305,0.0
306,259909034.2857143
307,0.0
308,455635596.5714286
309,438869768.0
310,341842228.5714286
311,0.0
312,0.0
313,138021686.57142857
314,88098467.0
315,0.0
316,124947736.0
317,0.0
318,138448941.0
319,88354603.0
320,0.0
321,0.0
322,284590796.0
323,0.0
324,260719721.0
325,220152855.0
326,183917342.0
